N,P,K,temperature,humidity,ph,rainfall,label
30.4,68.9,18.2,30.58,46.89,6.05,128.05,pigeonpeas
37.1,75.1,22.7,32.64,46.44,5.52,146.16,pigeonpeas
28.5,61.3,22.2,32.19,37.96,5.57,138.8,pigeonpeas
35.1,70.3,18.8,33.47,39.76,6.54,137.93,pigeonpeas
27.1,74.1,18.9,29.71,44.58,6.52,122.21,pigeonpeas
16.2,65.2,22.6,34.9,45.18,5.79,162.31,pigeonpeas
20.0,65.6,21.9,33.4,44.95,6.02,107.68,pigeonpeas
24.9,69.8,19.5,32.62,49.73,5.83,147.56,pigeonpeas
23.6,66.5,22.7,32.81,44.57,6.11,155.72,pigeonpeas
19.3,73.3,20.8,33.35,53.49,5.31,134.36,pigeonpeas
26.3,63.6,25.0,30.79,44.72,6.1,126.97,pigeonpeas
25.9,69.1,20.8,32.31,44.85,5.24,149.82,pigeonpeas
34.5,67.6,22.0,33.89,41.15,6.85,148.03,pigeonpeas
34.0,63.8,25.1,34.05,50.27,6.12,141.27,pigeonpeas
32.3,68.2,17.6,30.27,46.57,6.15,144.15,pigeonpeas
32.4,57.7,21.8,28.86,51.3,5.95,151.29,pigeonpeas
24.0,73.9,23.6,33.67,46.85,6.29,134.4,pigeonpeas
30.9,75.7,23.6,31.04,49.31,5.35,153.59,pigeonpeas
29.3,58.2,19.2,31.93,46.0,5.4,150.83,pigeonpeas
28.5,66.5,20.0,34.6,55.78,5.76,135.82,pigeonpeas
29.5,65.7,21.2,33.98,37.95,6.66,146.09,pigeonpeas
25.9,67.1,21.4,29.04,54.97,6.02,151.65,pigeonpeas
31.3,62.4,22.4,31.96,51.73,4.94,143.51,pigeonpeas
25.1,69.7,22.4,31.08,43.94,5.94,131.55,pigeonpeas
30.9,65.7,15.7,31.75,42.31,5.18,126.44,pigeonpeas
27.9,74.1,22.1,31.29,49.78,5.77,134.58,pigeonpeas
22.9,58.7,20.7,32.82,47.02,5.79,130.81,pigeonpeas
29.9,60.9,23.1,30.5,43.74,5.27,137.48,pigeonpeas
31.4,70.1,23.5,33.54,41.98,5.83,133.3,pigeonpeas
32.8,61.5,23.3,34.29,56.65,5.8,155.68,pigeonpeas
36.6,64.4,18.4,28.74,51.06,5.06,139.42,pigeonpeas
29.2,68.4,22.4,32.94,53.89,5.52,134.85,pigeonpeas
24.4,71.7,23.3,33.4,53.42,5.41,170.01,pigeonpeas
33.6,71.2,25.1,29.19,44.88,5.63,155.82,pigeonpeas
23.3,71.3,24.2,33.89,48.92,5.51,132.3,pigeonpeas
32.5,71.4,21.4,31.66,37.37,5.46,173.67,pigeonpeas
22.4,68.4,23.5,29.99,48.42,6.47,145.19,pigeonpeas
39.0,59.2,23.6,32.15,51.36,6.22,134.0,pigeonpeas
28.4,58.2,22.7,33.1,50.69,6.53,150.51,pigeonpeas
28.1,63.1,20.1,34.87,54.68,5.88,145.69,pigeonpeas
23.9,73.4,22.8,36.38,43.11,5.81,148.47,pigeonpeas
30.1,66.4,19.8,34.26,51.11,5.54,165.33,pigeonpeas
32.2,68.2,21.7,33.61,43.19,6.02,112.71,pigeonpeas
31.0,59.7,24.5,31.84,46.44,5.69,140.68,pigeonpeas
33.2,55.1,24.1,33.18,41.46,5.46,170.15,pigeonpeas
23.7,61.7,23.8,33.18,42.81,6.11,129.61,pigeonpeas
31.9,72.8,22.6,33.22,56.31,6.0,127.27,pigeonpeas
29.3,77.9,19.5,31.78,49.58,5.97,130.27,pigeonpeas
32.0,79.1,21.9,30.69,39.76,6.13,161.56,pigeonpeas
29.4,67.5,20.3,30.32,51.67,6.46,121.81,pigeonpeas
33.9,70.4,24.3,29.82,40.67,5.93,152.54,pigeonpeas
34.7,71.0,21.0,30.45,53.65,5.52,169.43,pigeonpeas
26.4,75.5,22.9,32.23,44.9,5.83,151.42,pigeonpeas
27.8,64.5,21.2,32.66,36.86,6.23,130.3,pigeonpeas
22.9,59.1,17.9,29.79,43.95,6.98,137.11,pigeonpeas
28.2,69.5,21.8,32.35,41.52,6.73,172.11,pigeonpeas
20.8,62.4,20.9,30.57,50.03,5.64,177.48,pigeonpeas
32.3,68.6,23.6,34.71,44.68,5.59,146.17,pigeonpeas
30.9,68.2,18.3,30.89,47.13,5.96,174.59,pigeonpeas
22.0,70.0,24.5,37.04,45.48,6.25,153.55,pigeonpeas
28.3,67.0,22.4,27.44,50.91,6.06,141.66,pigeonpeas
35.7,64.1,20.7,36.48,43.34,5.72,142.79,pigeonpeas
30.9,68.5,18.9,31.44,44.46,5.96,151.39,pigeonpeas
29.2,58.6,23.6,33.01,54.42,6.22,161.52,pigeonpeas
29.4,74.2,22.5,32.3,58.86,6.44,153.61,pigeonpeas
22.4,61.1,22.1,32.79,44.43,6.07,168.83,pigeonpeas
30.3,61.8,21.3,30.89,45.56,5.79,137.84,pigeonpeas
22.5,66.9,20.4,26.64,57.76,6.54,139.36,pigeonpeas
27.6,61.6,24.9,36.29,48.28,6.51,147.63,pigeonpeas
22.2,65.4,21.8,31.59,46.41,5.95,143.79,pigeonpeas
27.7,62.2,20.1,29.93,52.39,4.95,162.3,pigeonpeas
33.0,66.0,16.3,31.78,47.18,5.49,137.27,pigeonpeas
33.6,70.8,19.7,29.3,45.86,5.89,152.44,pigeonpeas
25.4,70.1,25.4,34.13,47.26,5.91,139.65,pigeonpeas
25.9,45.0,20.1,28.1,50.49,5.65,55.08,mothbeans
19.7,49.5,18.9,30.44,48.99,8.12,38.52,mothbeans
22.2,49.4,18.4,28.85,57.62,4.98,56.52,mothbeans
7.5,43.6,23.3,26.84,47.8,6.59,69.04,mothbeans
10.8,43.3,23.0,31.72,52.09,5.76,69.27,mothbeans
28.0,50.2,18.4,27.9,51.86,7.01,64.11,mothbeans
24.4,43.2,22.8,28.63,55.25,7.92,43.61,mothbeans
19.8,45.4,16.9,28.69,62.55,5.28,52.24,mothbeans
23.2,48.0,19.8,25.4,53.43,6.14,34.98,mothbeans
26.0,51.3,20.1,28.46,56.8,6.93,59.73,mothbeans
18.5,52.7,20.6,28.39,47.42,6.98,45.84,mothbeans
16.8,44.2,17.9,32.25,57.83,8.29,42.72,mothbeans
20.4,42.3,18.6,26.16,57.46,6.43,61.05,mothbeans
23.0,56.7,17.0,30.52,57.09,5.97,60.56,mothbeans
21.7,46.6,18.4,26.56,60.7,6.75,58.76,mothbeans
16.0,44.4,22.2,25.3,50.84,6.78,53.39,mothbeans
19.1,49.1,21.4,29.47,48.56,6.52,62.06,mothbeans
24.5,42.0,20.7,24.04,52.69,8.27,44.92,mothbeans
15.8,50.6,16.9,26.73,54.89,6.24,50.61,mothbeans
23.7,49.2,20.5,27.32,53.98,6.65,56.16,mothbeans
17.5,46.8,18.0,27.93,49.26,5.86,54.57,mothbeans
21.1,50.6,19.1,28.82,54.7,7.11,45.89,mothbeans
20.7,49.0,20.0,23.83,53.14,8.52,49.62,mothbeans
16.4,49.0,20.6,30.39,47.47,7.34,57.22,mothbeans
19.3,48.9,22.1,29.74,47.93,7.41,51.98,mothbeans
20.4,47.8,19.7,30.38,52.17,5.85,49.35,mothbeans
20.9,52.4,21.2,26.3,62.44,6.96,62.7,mothbeans
19.2,49.6,21.7,30.44,56.73,7.45,49.98,mothbeans
17.1,48.8,21.9,27.55,56.76,7.91,45.17,mothbeans
15.8,46.9,20.6,26.95,57.91,7.09,52.82,mothbeans
12.8,42.2,20.6,23.73,56.55,6.62,78.44,mothbeans
31.5,46.8,19.8,29.99,59.31,5.44,38.21,mothbeans
16.9,49.8,21.0,30.14,47.7,4.9,59.36,mothbeans
15.9,39.4,20.3,29.59,52.01,6.38,51.23,mothbeans
18.1,42.1,18.6,29.04,53.79,6.88,44.54,mothbeans
19.1,38.8,20.4,30.86,46.6,6.28,55.13,mothbeans
26.3,45.7,18.6,24.06,52.91,8.38,54.72,mothbeans
19.9,48.8,20.0,26.37,55.79,6.93,52.64,mothbeans
15.1,52.7,21.3,26.89,56.51,6.35,46.24,mothbeans
16.2,40.4,20.9,24.34,47.59,5.09,51.81,mothbeans
19.2,46.2,17.9,25.66,54.36,6.31,55.03,mothbeans
15.6,48.2,22.6,29.17,50.85,6.96,50.57,mothbeans
20.0,46.2,19.7,28.42,48.53,5.94,41.39,mothbeans
12.0,42.6,20.3,26.21,54.55,6.78,36.75,mothbeans
23.3,50.7,18.0,28.84,49.07,6.83,42.38,mothbeans
11.0,46.0,19.8,27.2,47.76,6.43,54.65,mothbeans
19.8,48.2,18.7,30.34,47.8,7.14,61.96,mothbeans
22.4,46.7,18.9,30.07,46.81,5.97,49.32,mothbeans
26.2,49.0,18.1,27.38,50.04,6.18,60.33,mothbeans
13.1,53.9,21.7,30.18,50.65,6.63,41.03,mothbeans
17.4,49.5,22.6,25.79,51.04,6.63,41.33,mothbeans
23.0,44.6,19.6,27.1,49.34,6.74,50.78,mothbeans
18.1,44.6,20.6,31.31,53.06,7.55,41.38,mothbeans
20.8,43.1,17.0,26.52,57.27,7.51,54.44,mothbeans
12.3,46.7,20.6,28.35,45.12,6.04,51.99,mothbeans
22.7,38.7,19.7,28.29,55.9,7.3,57.16,mothbeans
16.0,39.9,19.2,30.0,58.07,7.32,55.93,mothbeans
21.9,45.3,19.7,31.34,48.73,8.04,49.92,mothbeans
26.6,41.9,21.2,26.53,46.84,6.92,60.58,mothbeans
15.8,41.5,19.8,27.83,54.69,7.51,52.02,mothbeans
29.3,48.4,19.3,24.78,51.45,6.48,60.18,mothbeans
22.3,42.8,20.3,29.34,58.61,7.46,58.59,mothbeans
20.3,49.1,22.5,25.33,51.1,6.13,55.53,mothbeans
26.2,45.1,15.2,27.18,56.15,7.18,55.93,mothbeans
18.6,42.4,21.0,26.33,61.24,7.21,47.85,mothbeans
16.9,47.1,19.5,30.23,53.25,6.16,67.62,mothbeans
20.2,50.6,18.8,28.73,53.74,5.24,68.62,mothbeans
26.5,45.9,17.8,28.7,52.85,7.03,54.03,mothbeans
22.5,53.3,21.1,25.9,57.95,8.06,77.72,mothbeans
14.4,48.5,15.8,29.11,50.31,8.29,46.3,mothbeans
11.6,45.6,16.0,29.5,44.24,6.77,35.88,mothbeans
18.4,54.1,20.7,26.27,52.38,6.76,56.28,mothbeans
13.2,49.9,14.6,26.74,50.55,7.26,52.68,mothbeans
13.0,43.6,20.4,27.84,50.18,6.37,58.07,mothbeans
17.4,47.1,24.3,25.15,45.09,7.38,47.07,mothbeans
18.4,44.4,19.5,31.2,55.71,7.44,41.17,mothbeans
14.2,36.1,18.4,29.91,54.57,6.57,52.32,mothbeans
16.6,48.3,21.5,24.77,53.7,7.5,49.18,mothbeans
23.5,58.8,19.8,28.79,49.55,6.9,56.18,mothbeans
21.0,43.4,20.4,30.92,54.29,7.52,50.6,mothbeans
23.7,48.6,18.1,28.64,48.53,6.24,54.01,mothbeans
21.5,42.7,22.1,29.14,49.68,5.52,51.34,mothbeans
17.8,48.0,19.3,23.99,50.95,6.51,57.57,mothbeans
16.5,54.2,16.2,30.62,51.6,7.44,53.14,mothbeans
25.7,46.0,17.8,30.84,52.05,6.93,62.38,mothbeans
14.8,49.9,18.8,27.74,52.79,5.55,46.27,mothbeans
26.8,51.0,19.9,28.49,51.32,7.84,50.9,mothbeans
21.2,52.1,18.4,31.12,46.38,8.05,49.52,mothbeans
18.8,39.9,19.1,25.92,50.07,6.64,60.16,mothbeans
21.0,48.7,17.8,26.24,59.69,6.16,65.75,mothbeans
18.8,47.5,22.1,30.54,52.06,6.44,52.05,mothbeans
21.7,51.1,20.0,29.24,59.05,7.06,54.99,mothbeans
12.4,37.0,20.8,27.81,50.44,6.94,52.02,mothbeans
25.6,47.8,18.5,29.98,51.63,7.17,48.68,mothbeans
16.8,47.8,20.0,28.96,51.43,5.28,49.04,mothbeans
24.0,46.3,19.5,29.97,49.65,5.52,51.21,mothbeans
17.6,43.6,19.6,28.98,52.46,7.0,67.01,mothbeans
18.3,48.6,19.0,26.31,50.16,6.37,55.38,mothbeans
31.7,44.6,19.2,27.87,54.08,6.96,62.77,mothbeans
7.9,38.0,19.0,30.19,46.24,4.34,57.07,mothbeans
21.0,43.1,18.0,27.53,85.22,6.51,49.97,mungbean
8.6,44.1,17.7,28.24,83.92,6.94,38.2,mungbean
20.2,49.7,23.7,28.02,85.65,6.16,35.54,mungbean
23.4,47.5,22.4,27.13,86.04,7.26,49.6,mungbean
21.1,47.5,16.9,29.86,83.78,6.85,39.68,mungbean
15.3,53.2,19.3,29.95,84.84,6.15,51.96,mungbean
17.6,50.3,20.1,26.96,85.33,7.36,49.96,mungbean
19.8,51.8,20.4,28.71,82.82,6.77,52.68,mungbean
16.7,53.2,19.8,27.61,87.0,6.61,51.3,mungbean
18.8,47.3,21.0,28.79,81.01,6.36,52.15,mungbean
19.5,45.4,17.3,27.42,80.96,6.67,44.51,mungbean
16.1,47.2,20.7,30.59,81.98,7.05,52.37,mungbean
16.9,48.3,19.1,28.69,88.02,6.88,50.04,mungbean
18.3,41.6,19.6,29.71,81.95,6.38,48.13,mungbean
16.1,44.3,19.2,27.13,83.05,6.91,40.96,mungbean
13.6,45.0,21.5,28.3,84.07,6.71,38.77,mungbean
22.0,49.0,19.2,29.51,82.75,7.04,48.27,mungbean
18.7,47.4,19.8,29.72,82.85,6.47,52.68,mungbean
17.6,51.1,23.4,28.1,86.36,6.35,51.27,mungbean
20.8,49.4,18.7,26.84,86.01,6.08,45.91,mungbean
23.8,48.3,23.9,29.53,83.69,6.71,47.26,mungbean
13.7,43.7,18.9,26.46,85.09,6.63,39.14,mungbean
21.6,50.4,20.5,28.18,86.18,6.9,49.04,mungbean
16.7,48.6,22.4,27.9,89.2,6.54,47.66,mungbean
17.3,48.4,16.5,27.95,82.82,6.74,52.47,mungbean
22.6,38.0,24.1,28.8,83.45,6.75,48.38,mungbean
17.3,48.3,18.8,28.1,83.63,6.27,48.23,mungbean
22.3,49.6,21.6,28.82,83.93,6.95,40.71,mungbean
16.4,43.6,22.2,29.44,85.97,7.02,43.1,mungbean
21.4,47.0,21.7,28.38,84.23,6.86,51.88,mungbean
17.3,47.3,17.9,26.0,85.4,6.88,48.81,mungbean
12.2,46.1,15.6,29.87,82.83,7.08,52.23,mungbean
16.4,43.0,20.7,27.66,85.2,6.56,38.59,mungbean
11.1,48.4,18.9,27.95,86.39,7.05,46.14,mungbean
18.6,49.5,17.3,28.72,86.1,6.9,37.82,mungbean
17.0,44.0,20.2,28.98,87.99,6.55,45.01,mungbean
24.6,48.7,22.5,28.79,82.69,6.3,39.74,mungbean
22.6,52.3,23.7,29.34,87.33,6.53,41.72,mungbean
23.4,49.2,20.2,28.89,85.65,7.09,53.97,mungbean
22.2,50.9,21.0,28.04,86.51,6.28,52.77,mungbean
15.2,48.6,18.3,29.05,84.93,6.22,49.6,mungbean
17.7,51.0,20.0,28.9,83.08,6.52,45.21,mungbean
23.4,54.2,18.4,29.58,80.66,6.34,42.71,mungbean
14.6,41.2,20.8,28.29,85.76,6.91,48.83,mungbean
22.6,47.2,17.6,29.56,83.82,6.42,46.61,mungbean
16.3,45.8,20.7,28.85,83.2,6.55,52.87,mungbean
22.0,55.8,22.4,29.64,82.22,6.93,47.23,mungbean
17.8,48.2,21.9,29.0,83.24,6.92,44.31,mungbean
20.9,46.3,19.6,29.27,82.92,7.28,38.39,mungbean
17.6,49.0,21.2,28.4,84.89,6.82,46.34,mungbean
25.6,50.9,21.7,27.53,84.84,6.61,42.47,mungbean
21.4,45.3,21.3,27.43,88.44,6.43,48.6,mungbean
23.2,45.2,21.7,27.27,87.9,6.7,44.52,mungbean
18.8,50.7,18.8,27.75,84.56,6.35,56.6,mungbean
17.7,50.8,20.4,27.52,84.99,6.94,46.56,mungbean
24.8,51.6,21.8,28.04,82.84,6.52,48.48,mungbean
22.2,38.8,20.0,28.66,84.44,7.09,49.61,mungbean
25.2,46.6,21.9,30.14,87.62,6.37,46.23,mungbean
18.6,49.5,21.4,27.66,85.14,6.09,54.71,mungbean
18.0,47.7,19.4,29.65,79.32,6.7,46.97,mungbean
18.2,54.4,18.2,29.27,85.71,7.08,44.16,mungbean
17.1,51.9,20.9,26.96,83.92,6.82,51.69,mungbean
17.3,35.8,21.0,27.28,80.97,5.85,51.57,mungbean
20.5,46.6,22.8,29.14,88.23,6.28,47.33,mungbean
13.5,46.6,19.5,29.13,85.09,6.89,51.02,mungbean
28.6,46.2,18.1,28.75,83.4,7.14,46.08,mungbean
17.7,45.6,21.4,28.34,83.72,7.2,43.22,mungbean
20.1,50.1,16.7,28.98,82.89,6.95,42.69,mungbean
22.8,51.9,21.7,28.75,84.54,6.53,54.86,mungbean
17.2,43.4,21.3,27.7,83.1,6.27,45.09,mungbean
19.7,48.5,21.9,29.03,84.62,6.64,50.05,mungbean
25.1,48.0,19.1,27.51,82.11,6.9,50.39,mungbean
22.3,47.0,22.8,28.02,86.91,6.69,44.46,mungbean
22.4,49.1,20.7,28.58,84.92,7.42,53.42,mungbean
22.9,47.9,22.0,29.02,85.05,6.61,47.1,mungbean
7.3,48.3,19.0,30.09,85.04,6.34,47.25,mungbean
15.8,49.4,20.6,29.46,83.42,6.71,40.67,mungbean
22.8,49.6,21.0,28.5,85.83,7.18,46.07,mungbean
20.6,43.2,18.3,28.6,87.21,6.62,46.32,mungbean
18.4,45.4,20.6,27.0,87.56,6.5,51.11,mungbean
14.9,50.2,21.3,28.88,83.01,6.77,41.58,mungbean
19.0,51.6,21.6,28.52,83.05,6.89,47.6,mungbean
10.7,50.6,20.0,29.7,82.81,5.75,48.9,mungbean
21.2,40.7,18.0,31.26,84.39,6.92,44.25,mungbean
11.6,46.8,19.5,28.1,84.77,6.78,46.75,mungbean
14.9,49.4,16.1,26.45,86.48,6.85,47.21,mungbean
14.4,44.7,19.5,26.9,83.52,6.9,54.64,mungbean
18.3,50.5,16.2,29.16,83.39,6.79,46.26,mungbean
25.3,44.0,21.3,28.22,84.68,6.64,43.27,mungbean
19.9,47.2,20.5,28.58,86.6,6.98,42.25,mungbean
23.5,42.8,21.2,29.12,81.18,6.73,45.16,mungbean
17.0,52.9,18.7,27.69,85.15,6.91,46.79,mungbean
24.7,49.6,15.6,27.97,83.88,6.84,34.38,mungbean
30.2,49.6,20.3,29.68,89.69,6.96,52.24,mungbean
20.5,46.9,19.0,27.67,83.63,6.29,47.12,mungbean
13.3,48.3,19.9,28.65,83.96,7.62,54.3,mungbean
15.0,48.4,18.8,27.49,82.32,6.83,44.09,mungbean
23.9,51.5,22.7,27.65,85.95,6.89,45.13,mungbean
16.9,53.9,20.5,29.14,83.36,6.33,44.65,mungbean
19.5,43.2,20.0,26.81,82.76,6.9,50.52,mungbean
48.0,62.4,17.9,29.25,66.93,7.43,65.51,blackgram
44.2,68.8,18.4,28.96,68.98,7.4,68.13,blackgram
43.6,68.6,22.1,29.25,69.05,7.54,74.15,blackgram
51.5,70.4,22.8,30.89,63.5,7.02,68.45,blackgram
43.5,66.8,22.2,25.62,69.6,7.49,65.66,blackgram
52.7,67.5,22.5,31.97,60.8,7.33,66.68,blackgram
50.4,63.9,23.5,32.08,62.78,6.75,65.96,blackgram
52.2,68.7,22.5,31.58,67.91,7.25,61.94,blackgram
49.0,72.8,19.9,31.01,64.04,6.84,67.01,blackgram
51.5,64.2,19.5,28.12,68.36,7.06,73.31,blackgram
57.6,67.1,18.0,25.83,60.58,6.74,73.01,blackgram
50.6,69.4,15.6,27.6,67.66,7.24,66.91,blackgram
52.8,75.7,19.6,30.14,65.58,7.87,59.1,blackgram
53.4,66.9,21.1,28.69,64.85,7.36,79.95,blackgram
54.0,63.3,19.2,29.09,59.61,7.05,70.43,blackgram
43.6,72.7,21.0,28.53,64.58,7.63,70.43,blackgram
50.0,66.3,20.2,28.98,58.69,7.76,68.12,blackgram
52.0,67.2,18.5,29.63,60.2,7.83,62.56,blackgram
44.8,65.3,22.6,30.03,61.29,7.53,70.42,blackgram
52.7,71.1,24.8,34.37,62.94,7.64,69.03,blackgram
52.5,59.0,19.7,28.37,67.48,7.47,59.2,blackgram
49.9,73.1,19.6,31.46,66.05,7.25,66.41,blackgram
43.9,61.9,21.4,30.04,64.58,7.02,66.28,blackgram
55.2,65.8,17.3,31.49,64.39,7.16,73.93,blackgram
49.9,68.9,17.6,29.56,66.83,6.68,68.3,blackgram
50.5,67.7,22.1,30.67,69.43,6.85,68.04,blackgram
50.4,62.2,21.9,34.65,64.95,7.3,67.84,blackgram
46.4,58.4,18.6,27.22,70.11,7.12,66.12,blackgram
54.4,61.9,18.5,30.14,68.09,7.3,68.49,blackgram
50.4,69.5,20.4,27.94,65.14,6.83,67.82,blackgram
47.6,80.2,19.9,27.19,64.6,7.31,74.19,blackgram
47.1,59.6,21.6,27.24,63.69,7.07,67.22,blackgram
53.4,64.1,19.5,29.97,65.45,7.18,69.24,blackgram
54.2,69.5,20.9,26.84,65.15,7.29,70.42,blackgram
46.5,64.2,18.9,31.07,68.1,7.03,71.13,blackgram
50.6,66.9,19.6,31.49,65.98,7.83,64.09,blackgram
52.6,64.9,18.3,29.98,65.41,8.03,66.76,blackgram
44.3,68.9,15.9,29.82,65.05,7.39,71.39,blackgram
47.5,66.7,18.5,27.74,65.93,6.77,65.84,blackgram
45.0,70.2,23.6,27.4,59.44,7.11,67.56,blackgram
51.1,65.3,19.6,30.74,68.12,6.56,66.02,blackgram
51.1,62.9,23.5,28.73,64.88,7.32,65.13,blackgram
40.8,65.4,22.1,29.33,62.46,7.43,66.18,blackgram
47.4,68.2,21.5,34.76,67.48,7.5,65.48,blackgram
44.9,67.8,20.2,27.84,64.47,7.27,68.94,blackgram
52.5,69.0,19.0,28.97,61.4,7.69,67.55,blackgram
48.9,62.9,25.9,27.85,63.71,7.27,69.9,blackgram
54.8,76.5,21.0,27.89,64.23,7.24,75.77,blackgram
43.0,73.5,20.4,31.68,64.69,6.9,70.5,blackgram
53.3,72.4,20.0,28.8,60.32,7.4,69.2,blackgram
45.2,64.8,19.1,27.03,62.55,6.81,65.85,blackgram
46.3,59.4,24.0,32.51,62.66,7.23,69.17,blackgram
56.0,63.4,22.2,28.9,60.99,7.37,72.66,blackgram
62.9,61.5,21.4,29.18,67.35,6.71,62.45,blackgram
46.1,67.9,18.7,31.32,68.08,7.33,73.98,blackgram
52.1,61.4,22.7,28.79,67.73,7.62,69.33,blackgram
42.5,62.9,22.6,29.66,65.24,7.38,70.29,blackgram
51.4,66.5,19.4,31.72,66.66,7.07,71.83,blackgram
49.4,63.2,18.5,28.04,64.18,7.52,64.28,blackgram
50.9,64.2,19.5,26.98,64.34,7.09,69.66,blackgram
51.1,61.5,22.2,30.42,65.6,7.15,65.43,blackgram
51.1,69.9,16.5,28.92,64.24,7.23,72.27,blackgram
46.1,65.0,19.0,28.4,63.96,7.38,63.28,blackgram
52.1,59.0,18.9,29.34,70.02,7.07,58.7,blackgram
40.0,67.7,21.2,30.75,65.5,7.5,65.34,blackgram
54.5,59.3,18.2,26.39,64.18,7.14,67.96,blackgram
50.3,62.9,19.6,27.01,69.09,7.06,65.54,blackgram
57.9,61.3,17.7,27.81,64.8,7.28,70.46,blackgram
62.9,56.3,21.2,28.89,63.24,6.96,63.86,blackgram
58.4,71.7,20.0,32.7,60.46,6.75,58.79,blackgram
46.5,68.3,20.2,30.3,60.77,7.39,68.46,blackgram
53.7,58.0,20.6,27.62,63.81,7.31,67.86,blackgram
45.7,67.5,16.9,32.3,64.38,7.49,65.39,blackgram
47.4,63.7,21.8,28.58,66.93,7.04,59.6,blackgram
47.1,61.6,20.1,27.62,67.78,7.12,66.79,blackgram
53.3,72.3,20.0,28.46,59.68,6.94,65.03,blackgram
50.5,65.8,21.4,28.77,64.83,7.51,68.87,blackgram
49.7,64.5,18.7,28.3,63.38,7.38,66.61,blackgram
43.3,76.3,20.6,27.19,63.67,7.18,74.32,blackgram
44.5,72.4,22.8,28.74,64.17,6.84,66.69,blackgram
49.8,70.8,22.2,28.5,59.1,7.14,68.67,blackgram
51.2,65.9,20.2,33.03,66.15,7.04,65.5,blackgram
49.2,75.7,19.6,29.96,63.55,7.48,75.34,blackgram
52.3,67.9,20.1,25.23,67.24,7.19,69.21,blackgram
46.4,65.6,19.2,32.04,63.86,7.77,69.22,blackgram
43.6,66.9,18.7,25.61,69.8,7.36,69.63,blackgram
50.8,60.6,19.0,31.68,61.85,6.39,66.59,blackgram
49.3,68.2,21.5,31.28,65.78,7.51,61.42,blackgram
52.5,70.6,17.5,26.99,62.76,6.95,70.51,blackgram
46.9,63.2,18.8,32.24,65.04,7.1,67.06,blackgram
56.5,63.8,22.6,30.42,64.52,7.9,63.28,blackgram
48.2,61.3,21.9,33.38,70.01,7.52,66.71,blackgram
48.2,59.1,24.1,30.94,63.52,7.55,63.61,blackgram
52.0,66.6,21.3,29.87,60.65,7.17,71.7,blackgram
49.9,71.4,17.9,29.95,63.13,7.37,67.63,blackgram
53.5,72.9,21.4,30.55,62.01,7.15,65.37,blackgram
48.3,65.6,18.0,26.09,63.0,7.21,62.11,blackgram
50.1,77.0,22.0,33.29,66.17,7.5,64.6,blackgram
46.8,53.8,22.4,33.08,63.34,7.07,64.48,blackgram
51.9,73.1,16.5,30.82,64.17,7.18,69.34,blackgram
26.7,67.0,19.6,25.94,66.26,6.77,39.92,lentil
26.0,72.0,20.1,25.32,70.3,7.01,45.37,lentil
25.5,54.7,19.7,23.35,66.17,6.65,43.72,lentil
20.4,62.8,21.0,27.43,64.71,6.8,48.81,lentil
24.3,69.3,18.5,25.73,65.45,6.79,41.87,lentil
30.3,77.9,18.0,23.32,65.69,6.94,42.76,lentil
16.2,74.3,21.5,20.51,63.18,7.17,50.79,lentil
31.3,66.6,20.2,23.74,68.38,6.44,41.78,lentil
31.5,67.3,22.8,22.66,64.84,6.42,45.03,lentil
21.6,65.1,17.1,25.39,67.15,6.18,50.34,lentil
37.5,67.7,18.7,29.65,61.04,6.71,45.72,lentil
32.9,69.3,19.0,22.1,63.97,6.4,45.19,lentil
25.2,60.0,22.5,23.0,61.2,6.65,45.27,lentil
20.5,69.2,17.9,27.42,66.57,6.58,42.02,lentil
27.1,70.6,19.9,23.57,65.18,6.52,43.63,lentil
19.2,72.4,20.6,22.45,70.7,6.73,40.86,lentil
30.9,69.5,20.8,23.15,66.35,6.62,47.22,lentil
19.9,65.3,23.4,22.47,63.19,6.57,40.14,lentil
18.7,66.3,20.3,23.89,64.57,6.71,49.09,lentil
26.7,64.6,19.4,25.16,69.24,6.51,45.4,lentil
28.9,62.5,20.0,21.07,59.69,6.81,43.46,lentil
28.3,67.4,18.0,23.91,61.3,7.12,39.58,lentil
26.7,62.3,21.1,23.34,63.44,6.96,45.12,lentil
29.6,62.6,17.2,24.21,64.04,6.89,44.68,lentil
28.3,59.4,23.8,23.67,67.09,6.45,46.23,lentil
22.3,69.8,19.3,24.06,67.09,6.33,42.26,lentil
29.3,78.0,19.7,25.18,64.68,7.28,38.01,lentil
27.9,59.4,15.0,24.59,65.42,6.61,44.58,lentil
39.9,66.2,21.0,22.7,65.89,6.63,43.36,lentil
34.8,73.4,20.3,19.39,63.92,7.51,44.08,lentil
31.9,74.7,20.4,22.32,57.69,6.91,41.74,lentil
28.2,61.3,19.5,24.07,65.81,6.37,49.79,lentil
25.1,59.1,19.8,24.07,65.48,7.11,44.05,lentil
27.0,62.0,21.6,24.37,63.74,6.13,50.78,lentil
22.6,64.5,20.7,21.61,60.52,6.06,47.88,lentil
25.3,82.1,18.0,22.16,63.3,6.77,43.12,lentil
29.9,62.6,17.2,20.4,58.33,6.54,43.8,lentil
25.0,73.7,22.5,23.33,59.62,6.53,42.6,lentil
24.9,64.0,18.7,23.23,63.09,6.76,46.44,lentil
23.9,73.9,18.0,20.76,66.14,6.45,46.29,lentil
17.9,74.5,21.3,21.0,60.56,7.2,42.05,lentil
